Date,Income/Expenses,Category,Memo,Amount
2025-11-08,Expenses,Baby,protein powder ,-352
2025-11-08,Expenses,Home,cash,-10000
2025-11-04,Expenses,Food,Puri sabji and dosa,-210
2025-11-04,Expenses,Transportation,Petrol ,-2000
2025-11-03,Expenses,Bills,"pizza , biryani, doctor checkup ",-501
2025-11-03,Expenses,Social,Tanmay ,-15000
2025-11-03,Expenses,Baby,medicine ,-974
2025-11-03,Expenses,Food,GAS,-600
2025-11-02,Expenses,Shopping,barbar,-70
2025-11-01,Expenses,papa,,-15000
2025-11-01,Expenses,Home,home loan emi,-17527
2025-11-01,Expenses,Bills,"axis cc bill dadi phone 9000, my phone 17.5k etc",-27589.12
2025-11-01,Expenses,Bills,idfc cc bill. expenses+ groceries+ diwali cloth shopping+ petrol,-39000
2025-11-01,Income,Salary,,190518
2025-10-11,Expenses,Pet,,-9
2025-10-11,Expenses,Electronics,,-2
2025-10-11,Expenses,Bills,,-23
2025-10-11,Income,Salary,,100
2025-10-11,Expenses,Food,,-10
